Box,Last Name,First Name,Series Title/Book Title,Series #,Book Title,
41,Blish,James,The Night Shapes,,,
41,Blish,James,Galactic Cluster,,,
41,Blish,James,A Case of Conscience,,,
41,Blish,James,The Night Shapes,,,
41,Blish,James,A Life For The Stars,,,
41,Blish,James,The Triumph of Time,,,
41,Blish,James,The Warriors of Day,,,
41,Blish,James,The Star Dwellers,,,
41,Blish,James,The Frozen Year,,,
41,Blish,James,The Seedling Stars,,,
41,Blish,James,They Shall Have Stars,,,
41,Blish,James,Vor,,,
41,Blish,James,Titans' Daughter,,,
41,Blish,James,Jack of Eagles,,,
43,Blish,James,Star Trek 3,,,
43,Blish,James,Star Trek,10,,
43,Blish,James,Star Trek,10,,
43,Blish,James,Star Trek,9,,
S4,Blish,James,Nebula Award Stories Five,,,
41,Bloch,Robert,Double Science Fiction,,,
41,Bloch,Robert,Dragons and Nightmares,,,
41,Bloch,Robert,Psycho II,,,
41,Bloch,Robert,Ladies' Day This / Crowded Earth,,,
41,Bloch,Robert,Atoms and Evil,,,
41,Bloch,Robert,Chamber of Horrors,,,
41,Bloch,Robert,Dragons and Nightmares,,,
42,Blondell,Joan,Center Door Fancy,,,
42,Bloodstone,John,Thundar!,,,
42,Bloodstone,Matthew,The Avenger,,,
42,Blum,Ralph,The Simultaneous Man,,,
42,Blyton,Enid,The Adventurous Four Again,,,
42,Bodelsen,Anders,Freezing Down,,,
41,Bok,Hannes,The Sorcerer's Ship,,,
41,Bok,Hannes,The Sorcerer's Ship,,,
42,Bond,J. Harvey,The Other World,,,
42,Bond,Nelson,Exiles of Time,,,
42,Bone,J. F.,The Lani People,,,
42,Boorman,John,Zardoz,,,
41,Boucher,Anthony,The Case of the Solid Key,,,
41,Boucher,Anthony,Rocket to the Morgue,,,
41,Boucher,Anthony,Rocket to the Morgue,,,
41,Boulle,Pierre,Garden on the Moon,,,
41,Boulle,Pierre,Time Out Of Mind,,,
41,Boulle,Pierre,Planet of the Apes,,,
42,Bounds,Sydney J.,The Robot Brains,,,
41,Bova,Ben,The Weathermakers,,,
41,Bova,Ben,The Starcrossed,,,
41,Bova,Ben,Analog Annual,,,
41,Bova,Ben,THX 1138,,,
41,Bova,Ben,Colony,,,
41,Bova,Ben,Capitol,,,
41,Bova,Ben,The Exiles Trilogy,,,
42,Bowen,John,After the Rain,,,
41,Boyd,John,The Organ Bank Farm,,,
41,Boyd,John,The Pollinators of Eden,,,
41,Boyd,John,The Gorgon Festival,,,
41,Boyd,John,The Last Starship From Earth,,,
41,Boyd,John,The Last Starship From Earth,,,
41,Boyer,Robert H.,The Fantastic Imagnination,,,
41,Boyll,Randall,Darkman,,,
41,Brackett,Leigh,The Best of Leigh Brackett,,,
41,Brackett,Leigh,The Sword of Rhiannon,,,
41,Brackett,Leigh,The Sword of Rhiannon,,,
41,Brackett,Leigh,The Big Jump,,,
41,Brackett,Leigh,The Reavers of Skaith,,,
41,Brackett,Leigh,The Long Tomorrow,,,
41,Brackett,Leigh,The Reavers of Skaith,,,
41,Brackett,Leigh,The Ginger Star,,,
41,Brackett,Leigh,The Hounds of Skaith,,,
41,Brackett,Leigh,The Big Jump,,,
41,Brackett,Leigh,The Halfling,,,
41,Brackett,Leigh,The Halfling,,,
40,Bradbury,Edward P.,Warriors of Mars,,,
40,Bradbury,Edward P.,Barbarians of Mars,,,
40,Bradbury,Edward P.,Blades of Mars,,,
40,Bradbury,Ray,R is for Rocket,,,
40,Bradbury,Ray,The Machineries of Joy,,,
40,Bradbury,Ray,I Sing The Body Electric!,,,
40,Bradbury,Ray,Fahrenheit 451,,,
40,Bradbury,Ray,A Medicine For Melancholy,,,
40,Bradbury,Ray,The Silver Locusts,,,
40,Bradbury,Ray,The Illustrated Man,,,
40,Bradbury,Ray,The October Country,,,
40,Bradbury,Ray,Timeless Stories for Today And Tomorrow,,,
40,Bradbury,Ray,The Machineries of Joy,,,
40,Bradbury,Ray,Fahrenheit 451,,,
40,Bradbury,Ray,Something Wicked This Way Comes,,,
40,Bradbury,Ray,The Day It Rained Forever,,,
40,Bradbury,Ray,The Machineries of Joy,,,
41,Bradley,Marion Zimmer,Star of Danger,,,
41,Bradley,Marion Zimmer,Star of Danger,,,
41,Bradley,Marion Zimmer,The Bloody Sun,,,
41,Bradley,Marion Zimmer,Endless Voyage,,,
41,Bradley,Marion Zimmer,Endless Voyage,,,
41,Bradley,Marion Zimmer,Endless Universe,,,
41,Bradley,Marion Zimmer,The World Wreckers,,,
41,Bradley,Marion Zimmer,Web of Light,,,
41,Bradley,Marion Zimmer,Two to Conquer,,,
41,Bradley,Marion Zimmer,Darkover Landfall,,,
41,Bradley,Marion Zimmer,The Spell Sword,,,
41,Bradley,Marion Zimmer,Stormqueen!,,,
41,Bradley,Marion Zimmer,The Spell Sword,,,
41,Bradley,Marion Zimmer,Hunters of the Red Moon,,,
41,Bradley,Marion Zimmer,Hunters of the Red Moon,,,
41,Bradley,Marion Zimmer,Darkover Landfall,,,
41,Bradley,Marion Zimmer,The Spell Sword,,,
41,Bradley,Marion Zimmer,Two to Conquer,,,
41,Bradley,Marion Zimmer,Hunters of the Red Moon,,,
41,Bradley,Marion Zimmer,The Heritage of Hastur,,,
41,Bradley,Marion Zimmer,The Shattered Chain,,,
41,Bradley,Marion Zimmer,Sharra's Exile,,,
41,Bradley,Marion Zimmer,The Forbidden Tower,,,
41,Bradley,Marion Zimmer,The Forbidden Tower,,,
41,Brand,Max,Gunman's Reckoning,,,
41,Brand,Max,Blood On The Trail,,,
